id_cnpj,cd_cnae_prin,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2,qtd_boletos,valor_total,valor_recebido,atraso_medio,taxa_atraso,taxa_inadimplencia,perda_total,prazo_medio_pagamento,score_risco,classificacao_risco
190fa3e7593a8f23241d95bdf430787ec0537c74fd8768d151977e433eba13cd,5510801.0,CE,0.5200421091477554,0.05,939.0,142.30769230769232,0.93,0.01557,974.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
68e2b7ecc0b7a98bf05c12fee5e916923c20f6c777036f289eccfe3cd1c79e12,2532201.0,SP,0.7535524608854639,0.8530041727895563,771.0,134.07692307692307,0.88,0.05861,964.0,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
33af30d761e617e28b4e23326de4c0075d0a6a25ca4e1be8eaf2a676c1d0e891,4644301.0,SC,0.9705878012943722,0.8530041727895563,960.0,217.8275862068965,0.97,0.07443,978.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
f6af555951fa77d30a487197f28fe725b6a10744dc8213cf3e35829e4e5a9a0d,3101200.0,RS,0.9662592260656202,0.9105266213641704,952.0,217.91698113207548,0.95,0.00086,978.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
2a2c613f90f59f3217b6946f41859700e21456a5a262a077fbac353925835673,4711302.0,SP,0.9447680762431456,0.8530041727895563,960.0,219.37190082644628,0.96,0.02644,982.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
6a828128ca0ea66d6328b35915f9738d035a69a4dd30b6d24b2348c0e85aa39a,4639701.0,SP,0.9887172655918902,0.8306274942350935,957.0,242.58,0.98,0.03169,981.0,988.0,5.0,6869.93,6858.01,0.0,0.0,0.0,11.919999999999959,24.4,1.0,Baixo Risco
104182a6e6d86059ff7bba89dfaa335dc703f0e1c9024547147050bc10524a1a,133402.0,MG,0.7582821144820616,0.9583465072545893,943.0,185.6515151515152,0.92,0.13356,980.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
f8a279c66b7da36f95ec86e317cb70e2fab726ffb5aef130490929e1dbce9ca3,2452100.0,MG,0.9856590670042716,0.8530041727895563,927.0,155.61111111111111,0.92,0.00147,978.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
eec76c58ec07dd38491fbbf01d36aa6db1053d4cf5ef3091e00afe96734285b2,5611201.0,GO,0.9058423487565384,1.0,715.0,0.0,0.93,0.0,793.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
7a5fc3cf694714f445cbcc1ddb05e80d8a725fb47617ae88b25b07a151912810,1013901.0,RS,1.0,0.8530041727895563,932.0,0.0,0.92,0.0,961.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baixo Risco
